"id","created_at","updated_at","name","type","address","description","vc_segment","barangay_id","data_source","municipality_id"
"1","2022-01-10 09:05:34","2022-02-09 11:47:06","Cabarasan Guti Rice Farmers Association","organization","Cabarasan Guti, Palo, Leyte","Name of President: Rogie C. Venigas; 
Contact Number: 09464353444;
Number of Members: 25;
Status of the Association: Active/
DOLE Registration Number: RO8-NLFO-2019-11-WA-1767;
Year Organized: 2015;
Production Area: 426,600 sq.m","producer","26477","Palo Local Government Unit; Palo Municipal Agriculturist's Office","996"
"2","2022-01-10 09:11:44","2022-02-09 11:47:31","Tacuranga Farmers Association","organization","Tacuranga, Palo, Leyte","Name of President: Gerry P. Barbosa;
Contact Number: 09205178162;
Number of Members: 23;
Status of the Association: Active;
DOLE Registration Number: RO8-NLFO-2016-07-WA-972;
Year Organized: 2016;
Production Area: 264,000 sq.m","producer","26502","LGU Palo Municipal Agriculturist's Office","996"
"3","2022-01-10 09:15:29","2022-02-09 11:52:43","Teraza Palayamanan Integrated Farmers Association","organization","Teraza, Palo, Leyte","Name of President: Gerry C. Aragon;
Contact Number: 09123061369;
Number of Members: 34;
Status of the Association: Active;
DOLE Registration Number: RO8-NLFO-2019-09-WA-1727;
Year Organized: 2019;
Production Area: 528,000 sq.m","producer","26503","LGU Palo Municipal Agriculturist's Office","996"
"4","2022-01-10 09:18:48","2022-02-09 11:47:56","Cogon Coconut Integrated Farming System Association","organization","Cogon, Palo, Leyte","Name of President: Dr. Alfredo F. Guevara;
Contact Number: 09185396218;
Number of Members: 16;
Status of the Association: Active;
DOLE Registration Number: RO800-15-08-RWA-528;
Year Organized: 2015;
Production Area: 3,000 sq.m","producer","26484","LGU Palo Municipal Agriculturist's Office","996"
"5","2022-01-10 09:36:53","2022-02-09 11:50:52","Sambayanan ni San Benito Livelihood Association","individual","Libertad, Palo, Leyte","Name of President: Jesus Catantan;
Contact Number: Jesus Catantan;
Number of Members: 30;
Status of the Association: Active;
DOLE Registration Number: RO8-NLFO-2017-07-WA-1382;
Year Organized: 2017;
Production Area: 12,000 sq.m","producer","26487","LGU Palo Municipal Agriculturist's Office","996"
"6","2022-01-10 09:42:54","2022-02-09 11:48:30","St. Anthony Integrated Farmers Association","organization","San Antonio, Palo, Leyte","Name of President: Ruel Regis;
Contact Number: 0939527395;
Number of Members: 25;
Status of Association: Active;
DOLE Registration Number: RO800-NLFO-15-03-RWA-328;
Year Organized: 2015;
Production Area: 987,000 sq.m","producer","26497","LGU Palo Municipal Agriculturist's Office","996"
"7","2022-01-10 09:45:48","2022-02-09 11:48:43","Kapirawan Senior Citizen Farmers Association","organization","Capirawan, Palo, Leyte","Name of President: Primo Regis;
Contact Number: 09482365959;
Number of Members: 31;
Status of the Association: Active;
DOLE Registration Number: RO800-NLFO-15-09-RWA-627;
Year Organized: 2015;
Production Area: 2,000 sq.m","producer","26482","LGU Palo Municipal Agriculturist's Office","996"
"8","2022-01-10 09:54:51","2022-02-09 11:49:27","Cabarasan Daku Parents Agri-Farmers Association","organization","Cabarasan Daku, Palo, Leyte","Name of President: Michelle B. Palabio;
Contact Number: 09104474051;
Number of Members: 25;
Status of the Association: Active;
DOLE Registration Number: RO800-NLFO-15-07-RWA-449;
Year Organized: 2015;
Production Area: 11,000 sq.m","producer","26476","LGU Palo Municipal Agriculturist's Office","996"
"9","2022-01-10 09:57:10","2022-02-09 11:50:14","Camaysihay Gacao Organic Farmers Association","organization","Gacao, Palo, Leyte","Name of President: Normando C. Margallo;
Contact Number: 09158328731;
Number of Members: 28;
Status of the Association: Active;
DOLE Registration Number: RO8-NLFO-2016-12-WA-1166;
Year Organized: 2016;
Production Area: 260,000 sq.m","producer","26485","LGU Palo Municipal Agriculturist's Office","996"
"10","2022-01-10 09:59:55","2022-02-09 11:49:06","Gacao Women Vegetable Association","organization","Gacao, Palo, Leyte","Name of President: Erlinda S. Cabilic;
Contact Number: 09192245898;
Number of Members: 20;
Status of the Association: Active;
DOLE Registration Number: RO800-NLFO-15-03-WA-306;
Year Organized: 2015;
Production Area: 3,000 sq.m","producer","26485","LGU Palo Municipal Agriculturist's Office","996"
