City or Municipalities,province_id
Adams,1
Bacarra,1
Badoc,1
Bangui,1
Banna,1
Batac,1
Burgos,1
Carasi,1
Currimao,1
Dingras,1
Dumalneg,1
Laoag,1
Marcos,1
Nueva Era,1
Pagudpud,1
Paoay,1
Pasuquin,1
Piddig,1
Pinili,1
San Nicolas,1
Sarrat,1
Solsona,1
Vintar,1
Alilem,2
Banayoyo,2
Bantay,2
Burgos,2
Cabugao,2
Candon,2
Caoayan,2
Cervantes,2
Galimuyod,2
Gregorio del Pilar,2
Lidlidda,2
Magsingal,2
Nagbukel,2
Narvacan,2
Quirino,2
Salcedo,2
San Emilio,2
San Esteban,2
San Ildefonso,2
San Juan,2
San Vicente,2
Santa,2
Santa Catalina,2
Santa Cruz,2
Santa Lucia,2
Santa Maria,2
Santiago,2
Santo Domingo,2
Sigay,2
Sinait,2
Sugpon,2
Suyo,2
Tagudin,2
Vigan,2
Agoo,3
Aringay,3
Bacnotan,3
Bagulin,3
Balaoan,3
Bangar,3
Bauang,3
Burgos,3
Caba,3
Luna,3
Naguilian,3
Pugo,3
Rosario,3
San Fernando,3
San Gabriel,3
San Juan,3
Santo Tomas,3
Santol,3
Sudipen,3
Tubao,3
Agno,4
Aguilar,4
Alaminos,4
Alcala,4
Anda,4
Asingan,4
Balungao,4
Bani,4
Basista,4
Bautista,4
Bayambang,4
Binalonan,4
Binmaley,4
Bolinao,4
Bugallon,4
Burgos,4
Calasiao,4
Dagupan,4
Dasol,4
Infanta,4
Labrador,4
Laoac,4
Lingayen,4
Mabini,4
Malasiqui,4
Manaoag,4
Mangaldan,4
Mangatarem,4
Mapandan,4
Natividad,4
Pozorrubio,4
Rosales,4
San Carlos,4
San Fabian,4
San Jacinto,4
San Manuel,4
San Nicolas,4
San Quintin,4
Santa Barbara,4
Santa Maria,4
Santo Tomas,4
Sison,4
Sual,4
Tayug,4
Umingan,4
Urbiztondo,4
Urdaneta,4
Villasis,4
Basco,5
Itbayat,5
Ivana,5
Mahatao,5
Sabtang,5
Uyugan,5
Abulug,6
Alcala,6
Allacapan,6
Amulung,6
Aparri,6
Baggao,6
Ballesteros,6
Buguey,6
Calayan,6
Camalaniugan,6
Claveria,6
Enrile,6
Gattaran,6
Gonzaga,6
Iguig,6
Lal-lo,6
Lasam,6
Pamplona,6
Penablanca,6
Piat,6
Rizal,6
Sanchez-Mira,6
Santa Ana,6
Santa Praxedes,6
Santa Teresita,6
Santo Nino,6
Solana,6
Tuao,6
Tuguegarao,6
Alicia,7
Angadanan,7
Aurora,7
Benito Soliven,7
Burgos,7
Cabagan,7
Cabatuan,7
Cauayan,7
Cordon,7
Delfin Albano,7
Dinapigue,7
Divilacan,7
Echague,7
Gamu,7
Ilagan,7
Jones,7
Luna,7
Maconacon,7
Mallig,7
Naguilian,7
Palanan,7
Quezon,7
Quirino,7
Ramon,7
Reina Mercedes,7
Roxas,7
San Agustin,7
San Guillermo,7
San Isidro,7
San Manuel,7
San Mariano,7
San Mateo,7
San Pablo,7
Santa Maria,7
Santiago,7
Santo Tomas,7
Tumauini,7
Alfonso Castaneda,8
Ambaguio,8
Aritao,8
Bagabag,8
Bambang,8
Bayombong,8
Diadi,8
Dupax del Norte,8
Dupax del Sur,8
Kasibu,8
Kayapa,8
Quezon,8
Santa Fe,8
Solano,8
Villaverde,8
Aglipay,9
Cabarroguis,9
Diffun,9
Maddela,9
Nagtipunan,9
Saguday,9
Baler,10
Casiguran,10
Dilasag,10
Dinalungan,10
Dingalan,10
Dipaculao,10
Maria Aurora,10
San Luis,10
Abucay,11
Bagac,11
Balanga,11
Dinalupihan,11
Hermosa,11
Limay,11
Mariveles,11
Morong,11
Orani,11
Orion,11
Pilar,11
Samal,11
Angat,12
Balagtas,12
Baliwag,12
Bocaue,12
Bulakan,12
Bustos,12
Calumpit,12
Dona Remedios Trinidad,12
Guiguinto,12
Hagonoy,12
Malolos,12
Marilao,12
Meycauayan,12
Norzagaray,12
Obando,12
Pandi,12
Paombong,12
Plaridel,12
Pulilan,12
San Ildefonso,12
San Jose del Monte,12
San Miguel,12
San Rafael,12
Santa Maria,12
Aliaga,13
Bongabon,13
Cabanatuan,13
Cabiao,13
Carranglan,13
Cuyapo,13
Gabaldon,13
Gapan,13
General Mamerto Natividad,13
General Tinio,13
Guimba,13
Jaen,13
Laur,13
Licab,13
Llanera,13
Lupao,13
Munoz,13
Nampicuan,13
Palayan,13
Pantabangan,13
Penaranda,13
Quezon,13
Rizal,13
San Antonio,13
San Isidro,13
San Jose,13
San Leonardo,13
Santa Rosa,13
Santo Domingo,13
Talavera,13
Talugtug,13
Zaragoza,13
Angeles,14
Apalit,14
Arayat,14
Bacolor,14
Candaba,14
Floridablanca,14
Guagua,14
Lubao,14
Mabalacat,14
Macabebe,14
Magalang,14
Masantol,14
Mexico,14
Minalin,14
Porac,14
San Fernando,14
San Luis,14
San Simon,14
Santa Ana,14
Santa Rita,14
Santo Tomas,14
Sasmuan,14
Anao,15
Bamban,15
Camiling,15
Capas,15
Concepcion,15
Gerona,15
La Paz,15
Mayantoc,15
Moncada,15
Paniqui,15
Pura,15
Ramos,15
San Clemente,15
San Jose,15
San Manuel,15
Santa Ignacia,15
Tarlac City,15
Victoria,15
Botolan,16
Cabangan,16
Candelaria,16
Castillejos,16
Iba,16
Masinloc,16
Olongapo,16
Palauig,16
San Antonio,16
San Felipe,16
San Marcelino,16
San Narciso,16
Santa Cruz,16
Subic,16
Agoncillo,17
Alitagtag,17
Balayan,17
Balete,17
Batangas City,17
Bauan,17
Calaca,17
Calatagan,17
Cuenca,17
Ibaan,17
Laurel,17
Lemery,17
Lian,17
Lipa,17
Lobo,17
Mabini,17
Malvar,17
Mataasnakahoy,17
Nasugbu,17
Padre Garcia,17
Rosario,17
San Jose,17
San Juan,17
San Luis,17
San Nicolas,17
San Pascual,17
Santa Teresita,17
Santo Tomas,17
Taal,17
Talisay,17
Tanauan,17
Taysan,17
