Province,region_id
Ilocos Norte,1
Ilocos Sur,1
La Union,1
Pangasinan,1
Batanes,2
Cagayan,2
Isabela,2
Nueva Vizcaya,2
Quirino,2
Aurora,3
Bataan,3
Bulacan,3
Nueva Ecija,3
Pampanga,3
Tarlac,3
Zambales,3
Batangas,4
Cavite,4
Laguna,4
Quezon,4
Rizal,4
Marinduque,5
Occidental Mindoro,5
Oriental Mindoro,5
Palawan,5
Romblon,5
Albay,6
Camarines Norte,6
Camarines Sur,6
Catanduanes,6
Masbate,6
Sorsogon,6
Aklan,7
Antique,7
Capiz,7
Guimaras,7
Iloilo,7
Negros Occidental,7
Bohol,8
Cebu,8
Negros Oriental,8
Siquijor,8
Biliran,9
Eastern Samar,9
Leyte,9
Northern Samar,9
Samar,9
Southern Leyte,9
Zamboanga del Norte,10
Zamboanga del Sur,10
Zamboanga Sibugay,10
Bukidnon,11
Camiguin,11
Lanao del Norte,11
Misamis Occidental,11
Misamis Oriental,11
Davao de Oro,12
Davao del Norte,12
Davao del Sur,12
Davao Occidental,12
Davao Oriental,12
Cotabato,13
Sarangani,13
South Cotabato,13
Sultan Kudarat,13
Agusan del Norte,14
Agusan del Sur,14
Dinagat Islands,14
Surigao del Norte,14
Surigao del Sur,14
Metro Manila,15
Abra,16
Apayao,16
Benguet,16
Ifugao,16
Kalinga,16
Mountain Province,16
Basilan,17
Lanao del Sur,17
Maguindanao,17
Sulu,17
Tawi-Tawi,17
