"id","created_at","updated_at","region_id","name"
"1",NULL,NULL,"1","Metro Manila"
"2",NULL,NULL,"3","Ilocos Norte"
"3",NULL,NULL,"3","Ilocos Sur"
"4",NULL,NULL,"3","La Union"
"5",NULL,NULL,"3","Pangasinan"
"6",NULL,NULL,"4","Batanes"
"7",NULL,NULL,"4","Cagayan"
"8",NULL,NULL,"4","Isabela"
"9",NULL,NULL,"4","Nueva Vizcaya"
"10",NULL,NULL,"4","Quirino"
"11",NULL,NULL,"5","Bataan"
"12",NULL,NULL,"5","Bulacan"
"13",NULL,NULL,"5","Nueva Ecija"
"14",NULL,NULL,"5","Pampanga"
"15",NULL,NULL,"5","Tarlac"
"16",NULL,NULL,"5","Zambales"
"17",NULL,NULL,"5","Aurora"
"18",NULL,NULL,"6","Batangas"
"19",NULL,NULL,"6","Cavite"
"20",NULL,NULL,"6","Laguna"
"21",NULL,NULL,"6","Quezon"
"22",NULL,NULL,"6","Rizal"
"23",NULL,NULL,"7","Marinduque"
"24",NULL,NULL,"7","Occidental Mindoro"
"25",NULL,NULL,"7","Oriental Mindoro"
"26",NULL,NULL,"7","Palawan"
"27",NULL,NULL,"7","Romblon"
"28",NULL,NULL,"8","Albay"
"29",NULL,NULL,"8","Camarines Norte"
"30",NULL,NULL,"8","Camarines Sur"
"31",NULL,NULL,"8","Catanduanes"
"32",NULL,NULL,"8","Masbate"
"33",NULL,NULL,"8","Sorsogon"
"34",NULL,NULL,"9","Aklan"
"35",NULL,NULL,"9","Antique"
"36",NULL,NULL,"9","Capiz"
"37",NULL,NULL,"9","Iloilo"
"38",NULL,NULL,"9","Negros Occidental"
"39",NULL,NULL,"9","Guimaras"
"40",NULL,NULL,"10","Bohol"
"41",NULL,NULL,"10","Cebu"
"42",NULL,NULL,"10","Negros Oriental"
"43",NULL,NULL,"10","Siquijor"
"44",NULL,NULL,"11","Eastern Samar"
"45",NULL,NULL,"11","Leyte"
"46",NULL,NULL,"11","Northern Samar"
"47",NULL,NULL,"11","Samar"
"48",NULL,NULL,"11","Southern Leyte"
"49",NULL,NULL,"11","Biliran"
"50",NULL,NULL,"12","Zamboanga del Norte"
"51",NULL,NULL,"12","Zamboanga del Sur"
"52",NULL,NULL,"12","Zamboanga Sibugay"
"53",NULL,NULL,"13","Bukidnon"
"54",NULL,NULL,"13","Camiguin"
"55",NULL,NULL,"13","Lanao del Norte"
"56",NULL,NULL,"13","Misamis Occidental"
"57",NULL,NULL,"13","Misamis Oriental"
"58",NULL,NULL,"14","Davao del Norte"
"59",NULL,NULL,"14","Davao del Sur"
"60",NULL,NULL,"14","Davao Oriental"
"61",NULL,NULL,"14","Davao de Oro"
"62",NULL,NULL,"14","Davao Occidental"
"63",NULL,NULL,"15","Cotabato"
"64",NULL,NULL,"15","South Cotabato"
"65",NULL,NULL,"15","Sultan Kudarat"
"66",NULL,NULL,"15","Sarangani"
"67",NULL,NULL,"2","Abra"
"68",NULL,NULL,"2","Benguet"
"69",NULL,NULL,"2","Ifugao"
"70",NULL,NULL,"2","Kalinga"
"71",NULL,NULL,"2","Mountain Province"
"72",NULL,NULL,"2","Apayao"
"73",NULL,NULL,"17","Basilan"
"74",NULL,NULL,"17","Lanao del Sur"
"75",NULL,NULL,"17","Maguindanao"
"76",NULL,NULL,"17","Sulu"
"77",NULL,NULL,"17","Tawi-Tawi"
"78",NULL,NULL,"16","Agusan del Norte"
"79",NULL,NULL,"16","Agusan del Sur"
"80",NULL,NULL,"16","Surigao del Norte"
"81",NULL,NULL,"16","Surigao del Sur"
"82",NULL,NULL,"16","Dinagat Islands"
