"id","created_at","updated_at","name","region_description"
"1",NULL,NULL,"NCR","National Capital Region"
"2",NULL,NULL,"CAR","Cordillera Administrative Region"
"3",NULL,NULL,"Region I","Ilocos Region"
"4",NULL,NULL,"Region II","Cagayan Valley"
"5",NULL,NULL,"Region III","Central Luzon"
"6",NULL,NULL,"Region IV-A","CALABARZON"
"7",NULL,NULL,"Region IV-B","MIMAROPA"
"8",NULL,NULL,"Region V","Bicol Region"
"9",NULL,NULL,"Region VI","Western Visayas"
"10",NULL,NULL,"Region VII","Central Visayas"
"11",NULL,NULL,"Region VIII","Eastern Visayas"
"12",NULL,NULL,"Region IX","Zamboanga Peninsula"
"13",NULL,NULL,"Region X","Northern Mindanao"
"14",NULL,NULL,"Region XI","Davao Region"
"15",NULL,NULL,"Region XII","SOCCSKSARGEN"
"16",NULL,NULL,"Region XIII","CARAGA"
"17",NULL,NULL,"ARMM","Autonomous Region in Muslim Mindanao"
